"data";"ipca_mensal";"selic_meta";"regime";"periodo_plano_real";"regime_tercis_periodo";"regime_kmeans";"ipca_log1p";"regime_kmeans_log1p";"regime_hmm";"prob_hmm_Baixa";"prob_hmm_Moderada";"prob_hmm_Alta";"regime_hmm_log1p";"prob_hmm_log1p_Baixa";"prob_hmm_log1p_Moderada";"prob_hmm_log1p_Alta"
1985-05-01;7,2;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,10413415427021;"Moderada";"Moderada";4,61601483888099e-39;0,999832818357842;0,000167181642157522;"Moderada";1,26575828284801e-11;0,999964798695959;3,52012913837764e-05
1985-06-01;8,49;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,25023861262184;"Moderada";"Moderada";8,25303284958035e-54;0,999758968816138;0,000241031183861724;"Moderada";7,65644075830344e-13;0,999891909059871;0,000108090939363312
1985-07-01;10,31;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,42568729012803;"Moderada";"Moderada";6,28212911194438e-79;0,999418344184342;0,000581655815658435;"Moderada";2,67904419586785e-14;0,999452612401526;0,000547387598447578
1985-08-01;12,05;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,5687881337687;"Moderada";"Moderada";1,16192391790495e-107;0,998482117298028;0,00151788270197161;"Moderada";1,76388551359449e-15;0,998102457833194;0,00189754216680388
1985-09-01;11,12;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,49485698064117;"Moderada";"Moderada";9,86492031230793e-92;0,997591981795045;0,00240801820495495;"Moderada";7,14768806160079e-15;0,998147515586489;0,00185248441350376
1985-10-01;10,62;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,45272775142377;"Moderada";"Moderada";1,01498727741198e-83;0,993697457753647;0,00630254224635252;"Moderada";1,5384992994909e-14;0,994659176591472;0,0053408234085123
1985-11-01;13,97;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,70604819843154;"Alta";"Moderada";9,82605550796788e-145;0,975490750241718;0,0245092497582822;"Moderada";1,22967181103343e-16;0,960061721887865;0,0399382781121346
1985-12-01;15,07;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,77695417974942;"Alta";"Moderada";1,69729639665282e-168;0,964367067216348;0,0356329327836522;"Moderada";3,20287782617795e-17;0,937460190008595;0,0625398099914045
1986-01-01;14,37;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,7324175575505;"Alta";"Moderada";3,66776478149317e-153;0,970306379997436;0,0296936200025635;"Moderada";7,43829748398484e-17;0,948942490958074;0,0510575090419256
1986-02-01;12,72;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,61885462229774;"Moderada";"Moderada";5,74913884922627e-120;0,987439301783987;0,0125606982160129;"Moderada";2,75223967412265e-15;0,981292355699994;0,0187076443000037
1986-03-01;4,77;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,75267208052001;"Moderada";"Moderada";1,13771745320447e-14;0,998919732677461;0,00108026732252809;"Moderada";0,000188305308156034;0,999811694682916;8,92795034480641e-12
1986-04-01;0,78;NA;"Moderada";"Pre-Real";"Baixa";"Baixa";0,576613364303994;"Baixa";"Moderada";0,242371992531068;0,757142305682081;0,000485701786851549;"Baixa";0,999999605509224;3,94490775959501e-07;1,93841710786187e-17
1986-05-01;1,4;NA;"Moderada";"Pre-Real";"Baixa";"Baixa";0,8754687373539;"Baixa";"Moderada";0,248785064572224;0,750918829907107;0,000296105520669139;"Baixa";0,999999990487684;9,51231639350527e-09;1,15999686491861e-21
1986-06-01;1,27;NA;"Moderada";"Pre-Real";"Baixa";"Baixa";0,819779831493311;"Baixa";"Moderada";0,239933186933223;0,759799294018126;0,000267519048651484;"Baixa";0,99999999654941;3,45058980163935e-09;1,7088922872036e-20
1986-07-01;1,71;NA;"Alta";"Pre-Real";"Baixa";"Baixa";0,99694863489161;"Baixa";"Moderada";0,146122116210319;0,853655926136796;0,000221957652884912;"Baixa";0,999993323027189;6,67697281046553e-06;1,24872006868304e-16
1986-08-01;3,55;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,51512723296286;"Moderada";"Moderada";2,90888098777735e-07;0,999824625895513;0,000175083216387994;"Baixa";0,996344418975965;0,00365558102227444;1,76085021173831e-12
1986-09-01;1,72;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,00063188030791;"Baixa";"Moderada";0,000178891937613941;0,999404416109678;0,00041669195270827;"Baixa";0,999310075316357;0,000689924438751549;2,44891025899066e-10
1986-10-01;1,9;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,06471073699243;"Baixa";"Moderada";0,000110251758894314;0,998630917291893;0,00125883094921226;"Baixa";0,992434528871157;0,0075654708475865;2,81256100014493e-10
1986-11-01;5,45;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,86408013080768;"Moderada";"Moderada";9,42903601992017e-23;0,993043573071943;0,00695642692805738;"Moderada";2,10806083042057e-05;0,999978366923392;5,52468303564144e-07
1986-12-01;11,65;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,53765721517353;"Moderada";"Moderada";8,76593718972249e-101;0,924813016289341;0,0751869837106589;"Moderada";3,54427233498479e-15;0,963345177972887;0,0366548220271098
1987-01-01;13,21;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,65394594210901;"Moderada";"Moderada";1,08110111946135e-129;0,729477828784251;0,270522171215749;"Moderada";2,06971511709964e-16;0,810882774465389;0,189117225534611
1987-02-01;12,64;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,61300665241532;"Moderada";"Alta";1,07135839551423e-119;0,484579087452958;0,515420912547042;"Moderada";7,84218387926838e-17;0,588857785088051;0,411142214911949
1987-03-01;16,37;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,85474458025301;"Alta";"Alta";3,44558982942281e-202;0,0567969928281691;0,943203007171831;"Alta";3,6212499221338e-20;0,103107186077426;0,896892813922574
1987-04-01;19,1;NA;"Alta";"Pre-Real";"Alta";"Moderada";3,00071981506503;"Alta";"Alta";4,15170456771274e-277;0,000572246487401178;0,999427753512599;"Alta";1,96775300427324e-22;0,00470407722018905;0,995295922779811
1987-05-01;21,45;NA;"Alta";"Pre-Real";"Alta";"Moderada";3,11129061418826;"Alta";"Alta";4,9305703742329e-306;5,10380732295721e-06;0,999994896192677;"Alta";2,26415482620569e-23;0,000778638121992157;0,999221361878008
1987-06-01;19,71;NA;"Alta";"Pre-Real";"Alta";"Moderada";3,03061667540749;"Alta";"Alta";2,05514494540359e-294;0,00398733797311267;0,996012662026887;"Alta";2,02128792438956e-22;0,0288692760963789;0,971130723903621
1987-07-01;9,21;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,32336763217657;"Moderada";"Moderada";1,52535607171281e-65;0,777815925766408;0,222184074233592;"Moderada";5,45961659872339e-15;0,963362230902988;0,0366377690970069
1987-08-01;4,87;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,76985463384001;"Moderada";"Moderada";5,75903380800501e-19;0,884555422708871;0,115444577291129;"Moderada";7,83475571501706e-09;0,999944231418963;5,57607462808144e-05
1987-09-01;7,78;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,17247640764703;"Moderada";"Moderada";1,6477649472135e-45;0,880506343642964;0,119493656357036;"Moderada";3,10428576533529e-12;0,998835323976121;0,00116467602077451
1987-10-01;11,22;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,50307395374345;"Moderada";"Moderada";6,368514702e-94;0,749085618224743;0,250914381775257;"Moderada";2,52964026265301e-15;0,9120054629492;0,087994537050797
1987-11-01;15,08;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,77757626375082;"Alta";"Alta";1,25284955705233e-169;0,286586265440485;0,713413734559515;"Alta";6,46256418846326e-18;0,410867696887203;0,589132303112797
1987-12-01;14,15;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,71800053195538;"Alta";"Alta";3,15578434419551e-151;0,119415698449077;0,880584301550923;"Alta";1,1785847425236e-18;0,190907684438727;0,809092315561273
1988-01-01;18,89;NA;"Alta";"Pre-Real";"Alta";"Moderada";2,99021709286588;"Alta";"Alta";8,94461639473707e-269;0,00181438511098187;0,998185614889018;"Alta";1,7944169435925e-21;0,0115348500024761;0,988465149997524
1988-02-01;15,7;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,81540871942271;"Alta";"Alta";9,5094201415236e-188;0,000666152789987795;0,999333847210012;"Alta";4,50257708585109e-21;0,00429054502113259;0,995709454978867
1988-03-01;17,6;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,92316158071916;"Alta";"Alta";9,59119919727495e-237;8,85320653108151e-05;0,999911467934689;"Alta";3,57400610858867e-23;0,000831608778119167;0,999168391221881
1988-04-01;19,29;NA;"Alta";"Pre-Real";"Alta";"Moderada";3,01012815383772;"Alta";"Alta";3,63168062129522e-284;1,23136941042504e-05;0,999987686305896;"Alta";1,45199277613443e-24;0,000212663344524977;0,999787336655475
1988-05-01;17,42;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,91343703082716;"Alta";"Alta";4,19808569915092e-235;7,12060554900646e-05;0,99992879394451;"Alta";5,07826339802256e-25;0,000488857082757176;0,999511142917243
1988-06-01;22;NA;"Alta";"Pre-Real";"Alta";"Moderada";3,13549421592915;"Alta";"Alta";7,80389896539876e-311;4,81104660706104e-07;0,999999518895339;"Alta";1,76443162807837e-27;4,32541378097923e-05;0,99995674586219
1988-07-01;21,91;NA;"Alta";"Pre-Real";"Alta";"Moderada";3,1315734964654;"Alta";"Alta";7,9044335548522e-313;5,13039754187667e-07;0,999999486960246;"Alta";2,05049826733328e-28;4,115552553098e-05;0,999958844474469
1988-08-01;21,59;NA;"Alta";"Pre-Real";"Alta";"Moderada";3,11750733047991;"Alta";"Alta";1,48064660893365e-316;7,67432738176408e-07;0,999999232567262;"Alta";1,78428921035532e-29;4,79880199263425e-05;0,999952011980074
1988-09-01;27,45;NA;"Alta";"Pre-Real";"Alta";"Moderada";3,34814816057234;"Alta";"Alta";4,12866583916542e-315;1,33737884885711e-10;0,999999999866262;"Alta";4,0211734997735e-32;2,87458085949019e-06;0,999997125419141
1988-10-01;25,62;NA;"Alta";"Pre-Real";"Alta";"Moderada";3,28166281296697;"Alta";"Alta";1,55284832487904e-320;2,66211499564969e-09;0,999999997337885;"Alta";6,61577914926895e-33;6,57320524323756e-06;0,999993426794757
1988-11-01;27,94;NA;"Alta";"Pre-Real";"Alta";"Moderada";3,36522472120334;"Alta";"Alta";8,03597772960788e-320;5,73858666175594e-11;0,999999999942614;"Alta";8,02128472034312e-34;2,28486743177213e-06;0,999997715132568
1988-12-01;28,7;NA;"Alta";"Pre-Real";"Alta";"Moderada";3,39114704580865;"Alta";"Alta";0;1,48974922945804e-11;0,999999999985102;"Alta";1,16743869293376e-34;1,63297970859009e-06;0,999998367020291
1989-01-01;37,49;NA;"Alta";"Pre-Real";"Alta";"Alta";3,65039846729565;"Alta";"Alta";4,96704541373645e-313;9,3209815178351e-19;1;"Alta";1,80746369354277e-33;1,5419317473536e-06;0,999998458068253
