"data_origem";"data_destino";"origem";"destino_observado";"Baixa";"Moderada";"Alta"
2020-12-01;2021-01-01;"Alta";"Baixa";0,0567226298590777;0,152729835339389;0,790547534801533
2021-01-01;2021-02-01;"Baixa";"Alta";0,511032884207429;0,362065899063531;0,12690121672904
2021-02-01;2021-03-01;"Alta";"Alta";0,100997939591975;0,305047742021195;0,59395431838683
2021-03-01;2021-04-01;"Alta";"Baixa";0,0941309097058239;0,279679562405494;0,626189527888682
2021-04-01;2021-05-01;"Baixa";"Alta";0,431927770844527;0,369578357104123;0,19849387205135
2021-05-01;2021-06-01;"Alta";"Moderada";0,106388656070527;0,314011820659087;0,579599523270386
2021-06-01;2021-07-01;"Moderada";"Alta";0,186110182924314;0,561399213563841;0,252490603511845
2021-07-01;2021-08-01;"Alta";"Alta";0,0977614254149795;0,263551023471063;0,638687551113957
2021-08-01;2021-09-01;"Alta";"Alta";0,107193115109656;0,29513936235081;0,597667522539534
2021-09-01;2021-10-01;"Alta";"Alta";0,080165137318637;0,198110909666946;0,721723953014417
2021-10-01;2021-11-01;"Alta";"Alta";0,0738204215444294;0,1716027874329;0,754576791022671
2021-11-01;2021-12-01;"Alta";"Alta";0,109925079165346;0,258148841233264;0,63192607960139
2021-12-01;2022-01-01;"Alta";"Moderada";0,135592795033774;0,335280734264545;0,529126470701681
2022-01-01;2022-02-01;"Moderada";"Alta";0,169669396054491;0,557216316605077;0,273114287340432
2022-02-01;2022-03-01;"Alta";"Alta";0,107819439952602;0,235095219037781;0,657085341009617
2022-03-01;2022-04-01;"Alta";"Alta";0,0505123660873126;0,0898920507288172;0,85959558318387
2022-04-01;2022-05-01;"Alta";"Moderada";0,109883945197147;0,214220212855689;0,675895841947164
2022-05-01;2022-06-01;"Moderada";"Alta";0,240950325045916;0,5092308817635;0,249818793190584
